tar_area,tar_layer,tar_pop,src_area,src_layer,src_pop,syn_num,w,w_sd
bankssts,II/III,E,transversetemporal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,transversetemporal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,transversetemporal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,I,bankssts,II/III,E,121647458,7.476743906106103,0.7476743906106104
bankssts,II/III,I,bankssts,II/III,I,66813319,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,bankssts,IV,E,12001223,7.476743906106103,0.7476743906106104
bankssts,II/III,I,bankssts,IV,I,5253087,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,bankssts,V,E,34236126,7.476743906106103,0.7476743906106104
bankssts,II/III,I,bankssts,V,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,bankssts,VI,E,1315475,7.476743906106103,0.7476743906106104
bankssts,II/III,I,bankssts,VI,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalanteriorcingulate,II/III,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalanteriorcingulate,II/III,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalanteriorcingulate,IV,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalanteriorcingulate,IV,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalanteriorcingulate,V,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalanteriorcingulate,V,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalanteriorcingulate,VI,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalanteriorcingulate,VI,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalmiddlefrontal,II/III,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalmiddlefrontal,II/III,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalmiddlefrontal,IV,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalmiddlefrontal,IV,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalmiddlefrontal,V,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalmiddlefrontal,V,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,caudalmiddlefrontal,VI,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,caudalmiddlefrontal,VI,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,cuneus,II/III,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,cuneus,II/III,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,cuneus,IV,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,cuneus,IV,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,cuneus,V,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,cuneus,V,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,cuneus,VI,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,cuneus,VI,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,entorhinal,II/III,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,entorhinal,II/III,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,entorhinal,IV,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,entorhinal,IV,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,entorhinal,V,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,entorhinal,V,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,entorhinal,VI,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,entorhinal,VI,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,frontalpole,II/III,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,frontalpole,II/III,I,0,-37.38371953053052,3.7383719530530524
bankssts,II/III,I,frontalpole,IV,E,0,14.953487812212206,1.4953487812212207
bankssts,II/III,I,frontalpole,IV,I,0,-37.38371953053052,3.7383719530530524
